date,close,volume,open,high,low
1/3/17,198.42,6667677,198.91,199.1,197.48
12/30/16,197.51,4276072,198.25,198.27,196.92
12/29/16,197.99,3017428,197.99,198.52,197.63
12/28/16,198.08,3816228,199.52,199.56,198
12/27/16,199.21,2340621,199.16,199.54,199.13
12/23/16,199.05,1373278,198.96,199.06,198.73
12/22/16,198.97,2250039,199.1,199.17,198.5789
12/21/16,199.16,2522011,199.43,199.61,199.14
12/20/16,199.42,3060861,199.16,199.61,199.06
12/19/16,198.6,2728214,198.3,198.9,198.21
12/16/16,198.19,4466390,198.7,198.966,197.94
12/15/16,198.66,6009082,198.54,199.68,198.34
12/14/16,198.14,7448192,198.97,199.83,197.61
12/13/16,199.23,5355329,198.96,199.72,198.6401
12/12/16,198.08,3789886,197.84,198.39,197.68
12/9/16,197.69,4386653,196.44,197.72,196.37
12/8/16,196.28,7030224,195.83,196.8,195.41
12/7/16,195.48,7224468,192.47,195.69,192.42
12/6/16,192.49,2668130,192.16,192.57,191.87
12/5/16,192.22,2922826,192.48,192.78,191.89
12/2/16,191.74,2773025,191.91,191.98,191.43
12/1/16,191.9,8322119,191.84,192.16,191.57
11/30/16,191.4,4772447,191.97,192.25,191.34
11/29/16,191.19,2263758,190.83,191.42,190.68
11/28/16,190.78,3155286,190.93,191.21,190.52
11/25/16,191.3,1547109,191.09,191.34,190.98
11/23/16,190.59,2465678,189.93,190.64,189.87
11/22/16,190.02,2754332,189.92,190.25,189.416
11/21/16,189.34,2994588,188.88,189.41,188.6
11/18/16,188.46,4357576,188.9,188.9599,188.32
11/17/16,189.3,4207968,189.09,189.33,188.7399
11/16/16,188.98,3457457,188.79,189.18,188.53
11/15/16,189.34,3747775,188.76,189.35,188.14
11/14/16,188.77,4795206,189.11,189.39,188.2
11/11/16,188.47,5003454,187.95,188.6299,187.41
11/10/16,188.13,8738980,186.83,188.82,186.35
11/9/16,185.96,8342255,181.93,186.55,181.75
11/8/16,183.38,3431660,182.2,184.04,182.02
11/7/16,182.36,3394986,181.17,182.45,181.05
11/4/16,178.71,4332859,179.11,179.67,178.64
11/3/16,179.11,1966294,179.7,179.89,178.84
11/2/16,179.35,3526989,179.66,180.21,179.05
11/1/16,180.12,3620633,181.52,181.52,179.14
10/31/16,181.17,1414416,181.58,181.7,181.05
10/28/16,181.36,3726582,181.82,182.32,180.67
10/27/16,181.53,2019509,182.3,182.35,181.23
10/26/16,181.77,5373594,180.6,182.12,180.35
10/25/16,181.48,3347565,181.82,182.17,181.25
10/24/16,181.96,1903977,182.36,182.5,181.65
10/21/16,181.22,5606744,180.6,181.45,180.23
10/20/16,181.54,2358628,181.72,182.45,181.22
10/19/16,182,1503179,181.85,182.41,181.57
10/18/16,181.37,1717672,181.94,182.1,181.12
10/17/16,180.72,1799993,181.17,181.51,180.45
10/14/16,181.29,2696624,182,182.46,181.21
10/13/16,180.84,3458469,180.13,181.22,179.43
